iter	Passed	Remaining
409	5196	32827
410	5220	32884
411	5230	32857
412	5242	32837
413	5253	32813
414	5263	32785
415	5273	32756
416	5284	32733
417	5294	32704
418	5304	32676
419	5315	32651
420	5325	32624
421	5336	32601
422	5347	32578
423	5358	32554
424	5369	32535
425	5381	32514
426	5392	32495
427	5403	32474
428	5415	32455
429	5427	32436
430	5438	32418
431	5450	32400
432	5474	32452
433	5485	32431
434	5496	32408
435	5507	32387
436	5518	32365
437	5535	32380
438	5547	32363
439	5559	32343
440	5582	32393
441	5594	32379
442	5607	32366
443	5619	32352
444	5632	32336
445	5644	32320
446	5656	32306
447	5669	32297
448	5682	32286
449	5737	32511
450	5749	32492
451	5760	32470
452	5771	32453
453	5783	32435
454	5796	32423
455	5808	32406
456	5820	32389
457	5832	32373
458	5844	32355
459	5856	32336
460	5868	32318
461	5879	32301
462	5893	32291
463	5922	32368
464	5935	32355
465	5946	32337
466	5958	32317
467	5970	32300
468	5982	32286
469	5997	32282
470	6009	32268
471	6023	32259
472	6039	32263
473	6068	32338
474	6086	32356
475	6105	32373
476	6123	32389
477	6138	32385
478	6151	32374
479	6167	32377
480	6192	32428
481	6207	32426
482	6223	32434
483	6236	32421
484	6251	32416
485	6265	32409
486	6278	32397
487	6292	32391
488	6306	32385
489	6319	32371
490	6331	32355
491	6343	32333
492	6353	32310
493	6365	32289
494	6375	32265
495	6387	32244
496	6398	32222
497	6408	32199
498	6420	32177
499	6430	32153
500	6441	32130
501	6452	32107
502	6463	32084
503	6504	32211
504	6515	32189
505	6526	32166
506	6537	32145
507	6548	32121
508	6559	32101
509	6570	32077
510	6581	32055
511	6591	32030
512	6602	32007
513	6629	32063
514	6641	32047
515	6654	32032
516	6667	32024
517	6679	32003
518	6690	31983
519	6702	31965
520	6712	31940
521	6723	31919
522	6734	31894
523	6744	31867
524	6754	31843
525	6765	31820
526	6785	31842
527	6796	31819
528	6807	31798
529	6818	31775
530	6828	31750
531	6839	31728
532	6850	31705
533	6860	31680
534	6871	31659
535	6881	31634
536	6891	31609
537	6902	31585
538	6912	31560
539	6922	31535
540	6940	31545
541	6950	31520
542	6960	31495
543	6970	31469
544	6980	31445
545	6990	31420
546	7000	31395
547	7010	31369
548	7020	31344
549	7030	31319
550	7040	31293
551	7050	31268
552	7061	31245
553	7071	31220
554	7081	31195
555	7091	31171
556	7101	31148
557	7112	31125
558	7122	31099
559	7132	31075
560	7142	31051
561	7152	31026
562	7162	31002
563	7172	30977
564	7182	30954
565	7192	30930
566	7202	30906
567	7212	30882
568	7222	30858
569	7232	30833
570	7244	30819
571	7255	30795
572	7265	30773
573	7277	30757
574	7287	30734
575	7297	30711
576	7307	30687
577	7329	30713
578	7339	30690
579	7356	30695
580	7367	30673
581	7377	30649
582	7386	30624
583	7397	30602
584	7407	30580
585	7417	30556
586	7427	30532
587	7437	30507
588	7446	30482
589	7457	30460
590	7467	30438
591	7477	30414
592	7487	30391
593	7497	30369
594	7507	30346
595	7517	30323
596	7528	30302
597	7539	30282
598	7548	30258
599	7559	30236
600	7569	30213
601	7579	30190
602	7590	30171
603	7601	30155
604	7613	30138
605	7623	30116
606	7633	30094
607	7643	30072
608	7655	30054
609	7666	30039
610	7686	30055
611	7698	30038
612	7717	30052
613	7727	30030
614	7738	30008
615	7748	29985
616	7758	29965
617	7768	29942
618	7778	29920
619	7788	29898
620	7802	29891
621	7812	29869
622	7823	29849
623	7833	29829
624	7844	29809
625	7855	29788
626	7875	29805
627	7885	29784
628	7895	29763
629	7906	29742
630	7916	29720
631	7926	29699
632	7936	29677
633	7946	29654
634	7956	29633
635	7966	29612
636	8026	29774
637	8036	29753
638	8047	29733
639	8057	29712
640	8068	29692
641	8088	29706
642	8100	29692
643	8115	29687
644	8127	29674
645	8142	29670
646	8155	29660
647	8169	29650
648	8186	29657
649	8211	29687
650	8232	29705
651	8251	29715
652	8270	29724
653	8287	29729
654	8304	29730
655	8324	29743
656	8339	29740
657	8352	29730
658	8374	29749
659	8389	29742
660	8403	29737
661	8418	29731
662	8430	29715
663	8440	29695
664	8452	29679
665	8463	29661
666	8474	29641
667	8486	29625
668	8497	29608
669	8509	29592
670	8520	29575
671	8533	29562
672	8545	29547
673	8562	29550
674	8573	29532
675	8591	29536
676	8603	29522
677	8616	29508
678	8629	29496
679	8640	29477
680	8652	29465
681	8665	29451
682	8677	29436
683	8688	29419
684	8700	29404
685	8715	29399
686	8731	29397
687	8745	29388
688	8757	29373
689	8769	29357
690	8781	29344
691	8793	29328
692	8818	29355
693	8832	29347
694	8846	29338
695	8858	29325
696	8877	29332
697	8890	29321
698	8902	29305
699	8915	29292
700	8927	29277
701	8939	29262
702	8949	29242
703	8964	29235
704	9010	29332
705	9022	29318
706	9034	29300
707	9057	29321
708	9071	29313
709	9084	29302
710	9104	29310
711	9119	29305
712	9136	29305
713	9150	29298
714	9166	29294
715	9183	29296
716	9198	29288
717	9214	29287
718	9231	29287
719	9255	29309
720	9271	29305
721	9288	29304
722	9302	29297
723	9320	29299
724	9338	29303
725	9353	29298
726	9370	29297
727	9384	29287
728	9400	29284
729	9418	29287
730	9432	29279
731	9449	29279
732	9465	29274
733	9494	29311
734	9506	29296
735	9522	29290
736	9538	29287
737	9551	29276
738	9571	29283
739	9587	29281
740	9602	29274
741	9622	29283
742	9639	29280
743	9652	29267
744	9669	29269
745	9684	29260
746	9697	29249
747	9718	29260
748	9739	29269
749	9760	29281
750	9774	29271
751	9788	29261
752	9808	29269
753	9828	29275
754	9851	29292
755	9870	29299
756	9890	29304
757	9910	29311
758	9934	29330
759	9955	29343
760	9975	29349
761	9991	29345
762	10007	29340
763	10022	29331
764	10037	29325
765	10054	29322
766	10067	29310
767	10084	29307
768	10100	29303
769	10134	29350
770	10146	29335
771	10158	29318
772	10170	29301
773	10182	29284
774	10193	29266
775	10205	29249
776	10217	29233
777	10229	29216
778	10241	29199
779	10253	29184
780	10265	29166
781	10277	29149
782	10289	29132
783	10300	29114
784	10312	29098
785	10324	29081
786	10335	29063
787	10346	29044
788	10358	29027
789	10369	29008
790	10381	28992
791	10397	28986
792	10413	28980
793	10427	28970
794	10440	28956
795	10453	28943
796	10464	28925
797	10476	28910
798	10488	28891
799	10500	28876
800	10511	28857
801	10523	28840
802	10534	28821
803	10545	28802
804	10558	28790
805	10570	28774
806	10582	28757
807	10593	28739
808	10605	28722
809	10617	28705
810	10627	28685
811	10639	28669
812	10650	28651
813	10661	28632
814	10672	28612
815	10684	28596
816	10717	28637
817	10737	28642
818	10754	28638
819	10772	28639
820	10825	28731
821	10843	28731
822	10856	28718
823	10870	28706
824	10884	28696
825	10897	28681
826	10908	28663
827	10919	28645
828	10931	28627
829	10942	28608
830	10953	28590
831	10964	28571
832	10976	28554
833	10987	28537
834	10999	28519
835	11011	28502
836	11022	28483
837	11033	28467
838	11044	28448
839	11056	28430
840	11067	28411
841	11078	28393
842	11089	28373
843	11100	28355
844	11111	28338
845	11122	28319
846	11143	28324
847	11161	28323
848	11173	28308
849	11185	28293
850	11198	28279
851	11210	28263
852	11224	28251
853	11236	28236
854	11248	28220
855	11261	28206
856	11273	28190
857	11285	28175
858	11298	28159
859	11310	28143
860	11322	28127
861	11336	28116
862	11349	28102
863	11360	28086
864	11372	28069
865	11383	28051
866	11394	28034
867	11405	28014
868	11417	27998
869	11428	27980
870	11439	27961
871	11450	27943
872	11461	27924
873	11472	27905
874	11483	27887
875	11493	27868
876	11505	27852
877	11517	27837
878	11528	27817
879	11541	27804
880	11553	27787
881	11564	27770
882	11575	27752
883	11587	27736
884	11599	27719
885	11610	27702
886	11622	27686
887	11634	27670
888	11645	27652
889	11656	27634
890	11667	27617
891	11678	27598
892	11689	27580
893	11700	27564
894	11711	27546
895	11723	27529
896	11736	27516
897	11747	27498
898	11758	27479
899	11769	27462
900	11780	27445
901	11792	27427
902	11802	27408
903	11816	27396
904	11828	27382
905	11839	27364
906	11852	27350
907	11863	27332
908	11874	27315
909	11886	27299
910	11898	27284
911	11908	27265
912	11919	27246
913	11930	27228
914	11940	27209
915	11951	27190
916	11962	27172
917	11972	27153
918	11983	27135
919	11994	27118
920	12005	27100
921	12015	27081
922	12026	27063
923	12037	27044
924	12048	27027
925	12059	27011
926	12071	26994
927	12083	26978
928	12094	26962
929	12106	26946
930	12117	26928
931	12128	26911
932	12140	26895
933	12151	26878
934	12163	26863
935	12174	26846
936	12186	26830
937	12198	26815
938	12210	26801
939	12222	26786
940	12234	26769
941	12245	26752
942	12256	26736
943	12268	26719
944	12279	26702
945	12290	26686
946	12302	26671
947	12314	26654
948	12325	26638
949	12336	26621
950	12347	26603
951	12357	26584
952	12368	26566
953	12379	26548
954	12390	26532
955	12400	26514
956	12427	26530
957	12439	26514
958	12450	26497
959	12461	26481
960	12474	26466
961	12486	26452
962	12498	26437
963	12517	26436
964	12529	26422
965	12542	26408
966	12555	26395
967	12567	26381
968	12582	26372
969	12594	26357
970	12607	26344
971	12619	26330
972	12632	26316
973	12659	26332
974	12673	26321
975	12690	26317
